id,l_id,Building,Address,Apt,AptSize,Bathrooms,MaxOccupants,Sqft,NumberConnect,5/27/11,6/27/11,8/2/11,8/30/11,9/29/11,10/27/11,11/28/11,1/26/12,3/6/12,4/3/12,4/16/12,5/1/12,5/8/12,5/22/12,6/5/12,6/19/12,7/3/12,7/17/12,7/31/12,8/14/12,8/28/12,9/11/12,9/25/12,10/11/12,10/25/12,11/15/12,12/6/12,2/21/13,3/14/13,4/4/13,4/18/13,5/2/13,5/16/13,5/30/13,6/13/13,7/1/13,7/15/13,7/29/13,8/12/13,8/26/13,9/16/13,9/27/13,10/11/13,10/25/13,11/8/13,11/22/13,12/6/13
3300212,,Sawtelle,3300,212,2,2,4,910,2,15649,"15,823","15,959",16112,16172,16269,16513,16952,17237,17337,17407,17496,17537,17636,17727,17879,18021,18177,18352,18532,18698,18796,18941,19096,19209,19371,19534,20224,20408,20568,20709,20816,20886,20978,21081,21180,21308,21479,21589,21682,21855,21929,21993,22074,22169,22265,22325
3300301,,Sawtelle,3300,301,2,2,4,910,2,25710,"25,912","26,190",26344,26593,26801,27038,27558,27869,28101,28226,28331,28381,28481,28586,28705,28837,28913,28949,29112,29325,29568,29779,29955,30081,30216,30381,31217,31464,31624,31732,31855,32002,32152,32315,32551,32636,32708,32852,33006,33219,33430,33578,33701,33825,33943,34027
3300302,,Sawtelle,3300,302,2,2,4,915,2,21730,"21,916","22,096",22260,22464,22662,22895,23234,23479,23640,23727,23808,23847,23930,24008,24087,24152,24233,24309,24410,24519,24629,24785,24944,25043,25185,25308,25787,25981,26176,26293,26429,26572,26675,26772,26897,26980,27078,27144,27185,27293,27344,27401,27461,27516,27574,27634
3300303,,Sawtelle,3300,303,2,2,4,910,2,41795,"42,123","42,195",42352,42655,42924,43145,43551,43832,44011,44090,44177,44223,44322,44404,44486,44512,44543,44578,44609,44638,44735,45025,45386,45580,45839,45981,46364,46494,46558,46696,46737,46838,46892,46965,47077,47163,47227,47255,47271,47442,47593,47567,47618,47654,47703,47760
3300304,,Sawtelle,3300,304,2,2,4,915,2,38536,"39,071","39,666",40344,40959,41236,41482,42283,42777,43066,43200,43581,43738,44102,44444,44523,44563,44597,44677,44875,45094,45335,45528,45652,45844,46045,46341,47578,47828,47979,48076,48150,48228,48299,48375,48530,48675,48775,48858,48951,49235,49336,49447,49555,49630,49724,49863
3300305,,Sawtelle,3300,305,2,2,4,915,2,26229,"26,683","27,144",27573,28086,28158,28253,28541,28725,28824,28883,28969,29012,29099,29180,29307,29441,29544,29616,29683,29782,29857,29908,30001,30052,30139,30227,30722,30816,30929,31098,31104,31191,31295,31379,31493,31609,31631,31647,31775,31987,32072,32220,32350,32462,32580,32692
3300306,,Sawtelle,3300,306,2,2,4,915,2,18826,"18,962","19,078",19221,19371,19509,19684,20030,20239,20368,20430,20491,20519,20571,20626,20707,20778,20850,20941,21031,21113,21204,21295,21379,21409,21447,21479,21901,22093,22251,22354,22475,22604,22713,22825,22989,23122,23216,23313,23445,23738,23836,24009,24142,24270,24385,24490
3300307,,Sawtelle,3300,307,2,2,4,915,2,27699,"27,867","28,020",28174,28294,28331,28366,28488,28795,29027,29147,29254,29310,29433,29566,29689,29826,29932,30055,30215,30381,30516,30658,30809,30952,31178,31391,32402,32536,32824,32844,32859,32874,32890,32943,33098,33250,33406,33579,33745,34071,34175,34314,34449,34564,34675,34768
3300308,,Sawtelle,3300,308,2,2,4,915,2,35508,"35,560","35,821",36405,36885,37287,37674,38180,38648,38948,39095,39262,39353,39544,39746,39947,40163,40212,40252,40290,40330,40367,40523,40812,41065,41413,41686,42481,42720,42955,43105,43273,43444,43609,43781,44001,44175,44311,44484,44705,45083,45245,45460,45658,45864,46065,46268
3300309,,Sawtelle,3300,309,2,2,4,915,2,27354,"27,866","28,322",28795,29235,29522,29732,30191,30464,30628,30721,30851,30939,31119,31330,31516,31706,31885,32087,32326,32549,32769,32981,33145,33296,33453,33604,34343,34463,34577,34684,34705,34961,35133,35278,35552,35771,35982,36160,36360,36817,37041,37250,37443,37583,37742,37861
